compound,Response
"Baricitinib (LY3009104, INCB028050) 0.5uM",15.26850455
"Doramapimod (BIRB 796, p38 MAP Kinase Inhibitor X) 0.5uM",6.157597127
JNK Inhibitor VIII 0.5uM,79.55429122
"TCS ERK 11e (ERK Inhibitor VIII, VX-11e) 0.5uM",42.57263022
Rho Kinase Inhibitor III Rockout 0.5uM,57.587325
PP121 0.5uM,4.927453241
GZD824 0.5uM,1.1
Staurosporine 0.5uM,1.1
AZD3463 0.5uM,26.84409255
NVP-BVU972 0.5uM,62.86857599
Y-39983 dihydrochloride 0.5uM,27.14855386
"Cobimetinib (GDC-0973, RG7420) 0.5uM",36.55036443
WZ3146 0.5uM,47.40799783
Aminopurvalanol A 0.5uM,36.26363243
SB202190 (FHPI) 0.5uM,15.41385076
PD 166285 dihydrochloride 0.5uM,3.894269202
"BIIB-057 (PRT062607, P505-15) 0.5uM",21.43767852
Akt Inhibitor VIII Isozyme Selective Akti-1/2 0.5uM,53.9727262
"CP 547,632 0.5uM",42.41272673
Bosutinib 0.5uM,46.88087269
AT7867 0.5uM,64.24402374
Cdk1/2 Inhibitor III 0.5uM,1.1
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,1.1
SB 218078 0.5uM,1.1
PF-3644022 0.5uM,15.43827344
LY 333531 mesylate (Ruboxistaurin) 0.5uM,38.19794411
Cot inhibitor-2 0.5uM,29.87844808
PD 173955 Analogue 1 0.5uM,64.05371984
"Vargatef (Nintedanib, BIBF 1120) 0.5uM",83.71328936
NVP-TAE684 0.5uM,30.7250684
Ponatinib (AP24534) 0.5uM,1.1
Foretinib (GSK1363089) 0.5uM,51.70315131
Saracatinib (AZD0530) 0.5uM,45.48803887
Regorafenib (BAY 73-4506) 0.5uM,100
Pazopanib 0.5uM,54.40568474
AT9283 0.5uM,1.1
Control,100
