compound,Response
"Baricitinib (LY3009104, INCB028050) 0.5uM",81.48653209
"Doramapimod (BIRB 796, p38 MAP Kinase Inhibitor X) 0.5uM",136.7071018
JNK Inhibitor VIII 0.5uM,84.70371534
"TCS ERK 11e (ERK Inhibitor VIII, VX-11e) 0.5uM",49.09303017
Rho Kinase Inhibitor III Rockout 0.5uM,87.1930652
PP121 0.5uM,30.31842526
GZD824 0.5uM,0.500447515
Staurosporine 0.5uM,0.5
AZD3463 0.5uM,77.35124999
NVP-BVU972 0.5uM,86.21736202
Y-39983 dihydrochloride 0.5uM,72.76836966
"Cobimetinib (GDC-0973, RG7420) 0.5uM",33.65135726
WZ3146 0.5uM,90.83853722
Aminopurvalanol A 0.5uM,83.62903136
SB202190 (FHPI) 0.5uM,232.4029957
PD 166285 dihydrochloride 0.5uM,202.5467457
"BIIB-057 (PRT062607, P505-15) 0.5uM",91.21337693
Akt Inhibitor VIII Isozyme Selective Akti-1/2 0.5uM,96.23691429
"CP 547,632 0.5uM",113.8181441
Bosutinib 0.5uM,84.42549563
AT7867 0.5uM,151.7603646
Cdk1/2 Inhibitor III 0.5uM,2.353906163
PDK1/Akt/Flt Dual Pathway Inhibitor 0.5uM,30.72492784
SB 218078 0.5uM,11.51491457
PF-3644022 0.5uM,65.050741
LY 333531 mesylate (Ruboxistaurin) 0.5uM,149.3780045
Cot inhibitor-2 0.5uM,33.35757573
PD 173955 Analogue 1 0.5uM,240.6913512
"Vargatef (Nintedanib, BIBF 1120) 0.5uM",137.1183435
NVP-TAE684 0.5uM,47.08030423
Ponatinib (AP24534) 0.5uM,0.5
Foretinib (GSK1363089) 0.5uM,88.60404523
Saracatinib (AZD0530) 0.5uM,90.28055248
Regorafenib (BAY 73-4506) 0.5uM,144.5735461
Pazopanib 0.5uM,87.50010414
AT9283 0.5uM,14.09988153
Control,100
